6
5 10
3 5 0.8
1 3 1.0
2 5 0.2
4 2 0.3
3 5 0.3
5 4 0.9
3 1 0.4
3 5 0.1
3 2 0.1
3 5 0.5
5 8
2 1 0.4
5 1 0.7
3 2 1.0
4 1 0.1
2 4 0.5
2 4 0.4
3 3 0.7
3 3 0.5
10 34
8 3 0.8
7 8 0.7
6 8 0.9
1 6 1.0
2 6 0.5
10 6 1.0
5 10 0.6
9 7 0.4
4 8 0.4
5 9 1.0
9 4 0.5
2 9 0.1
6 5 0.6
2 10 0.7
9 4 0.4
4 6 0.5
5 9 0.8
10 8 0.7
4 9 0.6
8 10 0.9
8 5 0.2
7 6 0.9
8 6 0.8
10 8 0.1
9 5 1.0
10 4 0.9
5 10 0.1
8 5 0.2
9 7 0.9
1 9 0.3
2 10 0.8
8 5 0.2
5 9 0.7
5 7 1.0
3 3
3 1 0.8
2 1 0.2
2 1 0.3
10 32
3 7 0.9
8 3 0.3
9 8 0.2
2 3 0.8
5 2 0.7
4 3 0.5
10 2 0.8
6 2 0.2
1 8 0.1
5 7 0.1
7 4 0.9
1 4 0.3
4 4 1.0
3 5 0.8
1 9 0.6
10 7 0.3
9 5 0.4
3 5 0.9
6 4 0.2
10 8 0.3
7 5 0.2
6 3 0.1
1 8 0.6
6 8 0.2
6 4 1.0
2 5 0.3
5 5 0.9
7 5 0.9
6 10 0.9
6 10 0.6
8 6 0.8
1 5 1.0
8 14
3 7 0.6
5 7 0.5
1 7 0.8
4 3 0.2
2 3 0.5
6 5 0.6
8 2 0.8
6 2 0.5
6 8 0.9
6 5 0.5
7 4 1.0
4 4 0.4
2 4 0.4
5 4 1.0
